Segment,District,Division,Area,Info,date,link
Area,98,M,3,"### Area M3The area meets the recognition program requirements for club visits.Congratulations, area is President's Distinguished.

7849707-Speakers Community Toastmasters Club has 9 DCP goals but still needs 4 more paid members.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,M,4,"### Area M4The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

5116082-Capgemini Mumbai Toastmasters Club has 8 DCP goals but still needs 2 more paid members.  
7849406-Worley India Toastmasters Harmony has 7 DCP goals but still needs 1 more paid members.  
7763127-NMD Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,N,,"### Division NTo be Distinguished, the division needs:  

* 2 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the division needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the division needs:  

* 3 more paid club(s).
* 3 more distinguished club(s).

9 clubs have 5+ DCP goals earned so far.  
5 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,N,1,"### Area N1The area meets the recognition program requirements for club visits.Congratulations, area is Select Distinguished.

To be President's Distinguished, the area needs:  



* 1 more paid club(s).
* The distinguished club goal has been met.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,N,2,"### Area N2The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

3531688-Nagpur Toastmasters Club has 8 DCP goals but still needs 3 more paid members.  
5757009-IIM Nagpur Toastmasters Club has 4 DCP goals but still needs 5 more paid members.  
5757009-IIM Nagpur Toastmasters Club has only 8 members and needs a coach (none assigned).  
7811085-InfoCepts Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,N,3,"### Area N3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

5742286-IIM Raipur Toastmasters Club has 4 DCP goals but still needs 10 more paid members.  
7185394-SSIPMT Spellbinders has 5 DCP goals but still needs 6 more paid members.  
5742286-IIM Raipur Toastmasters Club has only 9 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,N,4,"### Area N4The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

5762025-IMT Nagpur Toastmasters Club has 4 DCP goals but still needs 6 more paid members.  
7073592-Gurukul.Education Toastmasters Club has 9 DCP goals but still needs 7 more paid members.  
7289583-Raisoni Institute's Brio Toastmasters Club has 4 DCP goals and has met the paid members qualifying requirement.  
7429657-Rungta Toastmasters Club has 7 DCP goals but still needs 7 more paid members.  
5762025-IMT Nagpur Toastmasters Club has only 7 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,O,,"### Division OTo be Distinguished, the division needs:  

* 2 more paid club(s).
* The distinguished club goal has been met.

To be Select Distinguished, the division needs:  

* 2 more paid club(s).
* 1 more distinguished club(s).

To be President's Distinguished, the division needs:  

* 3 more paid club(s).
* 1 more distinguished club(s).

13 clubs have 5+ DCP goals earned so far.  
7 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,O,1,"### Area O1The area meets the recognition program requirements for club visits.Congratulations, area is Select Distinguished.

To be President's Distinguished, the area needs:  



* 1 more paid club(s).
* The distinguished club goal has been met.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,O,2,"### Area O2The area meets the recognition program requirements for club visits.Congratulations, area is Distinguished.

To be Select Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 1 more distinguished club(s).

2571105-Opulent Toastmasters Club Of Pune Camp has 10 DCP goals but still needs 1 more paid members.  
6716037-Aurangabad Toastmasters has 7 DCP goals but still needs 5 more paid members.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,O,3,"### Area O3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

5027867-Tietoevry Toastmasters Club has 10 DCP goals but still needs 3 more paid members.  
6642875-Toastmasters Club of Pune South has 10 DCP goals but still needs 1 more paid members.  
6783455-BNY Mellon - Pune Commerzone has 4 DCP goals but still needs 5 more paid members.  
7860776-Cadence Sparkling Toastmasters Club has only 6 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,O,4,"### Area O4The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

2150212-TSYS Pune Toastmasters Club has 7 DCP goals but still needs 7 more paid members.  
3700901-Toastmasters Club of BMC Software has 8 DCP goals but still needs 9 more paid members.  
3700901-Toastmasters Club of BMC Software has only 11 members and needs a coach (none assigned).  
7850062-STL Toastmaster Club has only 6 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,P,,"### Division PTo be Distinguished, the division needs:  

* 5 more paid club(s).
* 4 more distinguished club(s).

To be Select Distinguished, the division needs:  

* 5 more paid club(s).
* 5 more distinguished club(s).

To be President's Distinguished, the division needs:  

* 6 more paid club(s).
* 6 more distinguished club(s).

12 clubs have 5+ DCP goals earned so far.  
5 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,P,1,"### Area P1The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

7470706-Pune Marathi Toastmasters Club has 10 DCP goals but still needs 6 more paid members.  
7843205-Kolhapur Toastmasters Club has 8 DCP goals but still needs 6 more paid members.  
7870821-Druva Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,P,2,"### Area P2The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

5970302-Cummins Pune Toastmasters Club has 9 DCP goals but still needs 4 more paid members.  
6974223-Sinhgad Toastmasters Club has 9 DCP goals but still needs 9 more paid members.  
6974223-Sinhgad Toastmasters Club has only 11 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,P,3,"### Area P3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

2541278-Toastmasters Club Of Pune-Central has 10 DCP goals but still needs 9 more paid members.  
6641278-3DS Pune Toastmasters Club has 8 DCP goals but still needs 4 more paid members.  
7811400-Rainbow Toastmasters Club has 9 DCP goals but still needs 5 more paid members.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,P,4,"### Area P4The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 2 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 3 more paid club(s).
* 3 more distinguished club(s).

5979643-e-Zest Toastmasters Club has 4 DCP goals but still needs 10 more paid members.  
6941712-Toastmasters Club of Nashik has only 9 members and needs a coach (none assigned).  
7894528-Moog Toastmasters Club of Pune has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,P,5,"### Area P5The area meets the recognition program requirements for club visits.Congratulations, area is Distinguished.

To be Select Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 1 more distinguished club(s).

7798218-Toastmasters For Global Entrepreneurs has 4 DCP goals but still needs 10 more paid members.  
7798218-Toastmasters For Global Entrepreneurs has only 10 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,S,,"### Division STo be Distinguished, the division needs:  

* The paid club goal has been met.
* 1 more distinguished club(s).

To be Select Distinguished, the division needs:  

* The paid club goal has been met.
* 2 more distinguished club(s).

To be President's Distinguished, the division needs:  

* The paid club goal has been met.
* 2 more distinguished club(s).

11 clubs have 5+ DCP goals earned so far.  
7 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,S,1,"### Area S1The area meets the recognition program requirements for club visits.Congratulations, area is Select Distinguished.

To be President's Distinguished, the area needs:  



* 1 more paid club(s).
* The distinguished club goal has been met.

7774241-Evergreen Toastmasters Club has 5 DCP goals but still needs 10 more paid members.  
7774241-Evergreen Toastmasters Club has only 10 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,S,2,"### Area S2The area meets the recognition program requirements for club visits.Congratulations, area is Distinguished.

To be Select Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 1 more distinguished club(s).

7807819-The Talking Tree has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,S,3,"### Area S3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

3217489-DADAR Toastmasters Club has 9 DCP goals but still needs 5 more paid members.  
6886479-BKC Fireflies Toastmasters has 9 DCP goals but still needs 6 more paid members.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,S,4,"### Area S4The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* The paid club goal has been met.
* 3 more distinguished club(s).

7549134-Andheri Orators Toastmasters has 10 DCP goals but still needs 5 more paid members.  
7434194-UltraTech Toastmasters Club has only 10 members and needs a coach (none assigned).  
7833944-Marico Toastmasters has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,U,,"### Division UTo be Distinguished, the division needs:  

* 3 more paid club(s).
* The distinguished club goal has been met.

To be Select Distinguished, the division needs:  

* 3 more paid club(s).
* 1 more distinguished club(s).

To be President's Distinguished, the division needs:  

* 4 more paid club(s).
* 2 more distinguished club(s).

13 clubs have 5+ DCP goals earned so far.  
8 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,U,1,"### Area U1The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

5105254-Stellar Toastmasters Club has 8 DCP goals but still needs 7 more paid members.  
7289546-Expedition Toastmasters Mumbai has 4 DCP goals and has met the paid members qualifying requirement.  
7854983-VJTI Toastmasters Club has only 2 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,U,2,"### Area U2The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

4764579-JPMC Powai Toastmasters has 5 DCP goals but still needs 11 more paid members.  
5748839-Somaiya Toastmasters Club has 7 DCP goals but still needs 3 more paid members.  
7854767-Eloquent Elites has 6 DCP goals but still needs 12 more paid members.  
4764579-JPMC Powai Toastmasters has only 9 members and needs a coach (none assigned).  
7854767-Eloquent Elites has only 8 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,U,3,"### Area U3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 2 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 3 more paid club(s).
* 2 more distinguished club(s).

2798803-NITIE Toastmasters Club has only 0 members and needs a coach (none assigned).  
7297859-CRISIL Toastmasters has only 0 members and needs a coach (none assigned).  
7881091-STL NIM Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,U,4,"### Area U4The area meets the recognition program requirements for club visits.Congratulations, area is Select Distinguished.

To be President's Distinguished, the area needs:  



* 1 more paid club(s).
* The distinguished club goal has been met.

6649866-TYHO SDA Bocconi has 9 DCP goals but still needs 9 more paid members.  
6649866-TYHO SDA Bocconi has only 10 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Division,98,W,,"### Division WTo be Distinguished, the division needs:  

* 4 more paid club(s).
* 5 more distinguished club(s).

To be Select Distinguished, the division needs:  

* 4 more paid club(s).
* 6 more distinguished club(s).

To be President's Distinguished, the division needs:  

* 5 more paid club(s).
* 6 more distinguished club(s).

10 clubs have 5+ DCP goals earned so far.  
3 clubs have 5+ DCP goals earned and 20+ or +5 members so far.",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,W,1,"### Area W1The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

1214543-GOA YMCA Toastmasters Club has 7 DCP goals but still needs 2 more paid members.  
4361333-Mapusa Toastmasters has 6 DCP goals but still needs 2 more paid members.  
7708785-Teva Goa Toastmasters Club has only 0 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,W,2,"### Area W2The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 2 more distinguished club(s).

2575847-Toastmasters International Margao has only 8 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,W,3,"### Area W3The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* 1 more paid club(s).
* 2 more distinguished club(s).

To be Select Distinguished, the area needs:  

* 1 more paid club(s).
* 3 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 2 more paid club(s).
* 3 more distinguished club(s).

6656843-Ana Fonte Toastmasters Club has 4 DCP goals but still needs 12 more paid members.  
7783722-Vasco Toastmasters Club has 6 DCP goals but still needs 12 more paid members.  
6656843-Ana Fonte Toastmasters Club has only 8 members and needs a coach (none assigned).  
7783722-Vasco Toastmasters Club has only 8 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
Area,98,W,4,"### Area W4The area meets the recognition program requirements for club visits.To be Distinguished, the area needs:  



* The paid club goal has been met.
* 1 more distinguished club(s).

To be Select Distinguished, the area needs:  

* The paid club goal has been met.
* 2 more distinguished club(s).

To be President's Distinguished, the area needs:  

* 1 more paid club(s).
* 2 more distinguished club(s).

6746425-NT India Pune Toastmasters Club has 4 DCP goals but still needs 6 more paid members.  
7166870-PTC Marisoft Toastmasters Club has 8 DCP goals but still needs 9 more paid members.  
7856700-EHI Toastmasters Club has 5 DCP goals but still needs 12 more paid members.  
7166870-PTC Marisoft Toastmasters Club has only 11 members and needs a coach (none assigned).  
7856700-EHI Toastmasters Club has only 8 members and needs a coach (none assigned).",2022-06-08,	https://reports2.toastmasters.org/ToDo.cgi?dist=98
